accession	organism specise	kmerfinder(Com)	kmerfinder(Type)	fIDBAC	ANI(%)
GCA_000375465.1	Balneola vulgaris	--	Balneola vulgaris	Balneola vulgaris	100
GCA_000375485.1	Desulfovibrio oxyclinae	Desulfovibrio sp.	Desulfovibrio oxyclinae	Desulfovibrio oxyclinae	100
GCA_000375505.1	Streptococcus mutans	Streptococcus mutans	Streptococcus mutans	Streptococcus mutans	100
GCA_000375525.1	Corynebacterium propinquum	--	Corynebacterium propinquum	Corynebacterium propinquum	100
GCA_000375545.1	Kordiimonas gwangyangensis	--	Kordiimonas gwangyangensis	Kordiimonas gwangyangensis	100
GCA_000375645.1	Porphyromonas bennonis	--	Porphyromonas bennonis	Porphyromonas bennonis	100
GCA_000376105.1	Asticcacaulis benevestitus	Asticcacaulis excentricus	Asticcacaulis benevestitus	Asticcacaulis benevestitus	100
GCA_000376125.1	Martelella mediterranea	Martelella mediterranea	Martelella mediterranea	Martelella mediterranea	100
GCA_000376225.1	Effusibacillus pohliae	--	Effusibacillus pohliae	Effusibacillus pohliae	100
GCA_000376245.1	Acaricomes phytoseiuli	--	Acaricomes phytoseiuli	Acaricomes phytoseiuli	100
GCA_000376265.1	Thermus igniterrae	Thermus brockianus	Thermus amyloliquefaciens	Thermus igniterrae	100
GCA_000376325.1	Campylobacter curvus	Campylobacter curvus	Campylobacter curvus	Campylobacter curvus	100
GCA_000376385.1	Desulfurispora thermophila	--	Desulfurispora thermophila	Desulfurispora thermophila	100
GCA_000376405.1	Dysgonomonas mossii	--	Dysgonomonas mossii	Dysgonomonas mossii	100
GCA_000376425.1	Thiobacillus denitrificans	Thiobacillus denitrificans	Thiobacillus denitrificans	Thiobacillus denitrificans	100
GCA_000376785.1	Hahella ganghwensis	--	Hahella ganghwensis	Hahella ganghwensis	100
GCA_000376805.1	Henriciella marina	--	Henriciella marina	Henriciella marina	100
GCA_000376825.1	Demetria terragena	--	Demetria terragena	Demetria terragena	100
GCA_000376885.1	Alloscardovia criceti	--	Alloscardovia criceti	Alloscardovia criceti	100
GCA_000376945.1	Leeia oryzae	--	Leeia oryzae	Leeia oryzae	100
GCA_000376985.1	Streptococcus henryi	Streptococcus macedonicus	Streptococcus henryi	Streptococcus henryi	100
GCA_000377005.1	Streptococcus minor	Streptococcus suis	Streptococcus minor	Streptococcus minor	100
GCA_000377505.1	Paenibacillus massiliensis	--	Paenibacillus massiliensis	Paenibacillus massiliensis	100
GCA_000377625.1	Prevotella veroralis	Prevotella denticola	Prevotella veroralis	Prevotella veroralis	99.9999
GCA_000377665.1	Halomonas zhanjiangensis	Halomonas titanicae	Halomonas zhanjiangensis	Halomonas zhanjiangensis	99.999
GCA_000377685.1	Prevotella oris	Prevotella oris	Prevotella oris	Prevotella oris	100
GCA_000377705.1	Salsuginibacillus kocurii	--	Salsuginibacillus kocurii	Salsuginibacillus kocurii	100
GCA_000377745.1	Gilvimarinus chinensis	--	Gilvimarinus chinensis	Gilvimarinus chinensis	100
GCA_000377765.1	Gracilibacillus lacisalsi	Gracilibacillus sp.	Gracilibacillus lacisalsi	Gracilibacillus lacisalsi	100
GCA_000377985.1	Sporolactobacillus vineae	--	Sporolactobacillus vineae	Sporolactobacillus vineae	100
GCA_000378005.1	Coprothermobacter platensis	--	Coprothermobacter platensis	Coprothermobacter platensis	99.9992
GCA_000378045.1	Marinobacterium rhizophilum	Marinobacterium aestuarii	Marinobacterium rhizophilum	Marinobacterium rhizophilum	99.9999
GCA_000378065.1	Porphyromonas gulae	Porphyromonas gingivalis	Porphyromonas gingivalis	Porphyromonas gulae	99.999
GCA_000378085.1	Prevotella loescheii	Prevotella oris	Prevotella loescheii	Prevotella loescheii	99.9999
GCA_000378105.1	Rubritalea marina	--	Rubritalea marina	Rubritalea marina	100
GCA_000378125.1	Rudaea cellulosilytica	Dokdonella koreensis	Rudaea cellulosilytica	Rudaea cellulosilytica	100
GCA_000378145.1	Saccharibacillus kuerlensis	Saccharibacillus brassicae	Saccharibacillus kuerlensis	Saccharibacillus kuerlensis	100
GCA_000378165.1	Saccharibacter floricola	--	Saccharibacter floricola	Saccharibacter floricola	99.9995
GCA_000378185.1	Salinimonas chungwhensis	Salinimonas sp.	Salinimonas chungwhensis	Salinimonas chungwhensis	99.9988
GCA_000378205.1	Sediminispirochaeta bajacaliforniensis	Sediminispirochaeta smaragdinae	Sediminispirochaeta smaragdinae	Sediminispirochaeta bajacaliforniensis	99.9999
GCA_000378225.1	Methylophilus methylotrophus	Methylophilus sp.	Methylophilus methylotrophus	Methylophilus methylotrophus	100
GCA_000378245.1	Aromatoleum toluclasticum	Azoarcus sp.	Aromatoleum toluclasticum	Aromatoleum toluclasticum	99.9996
GCA_000378345.1	Hirschia maritima	Hirschia baltica	Hirschia maritima	Hirschia maritima	100
GCA_000378365.1	Megamonas rupellensis	Megamonas funiformis	Megamonas funiformis	Megamonas rupellensis	100
GCA_000378385.1	Paenibacillus daejeonensis	--	Paenibacillus daejeonensis	Paenibacillus daejeonensis	99.9997
GCA_000378405.1	Succinimonas amylolytica	--	Succinimonas amylolytica	Succinimonas amylolytica	99.9579
GCA_000378425.1	Cohnella laeviribosi	Paenibacillus sp.	Cohnella laeviribosi	Cohnella laeviribosi	99.9995
GCA_000378445.1	Deinococcus aquatilis	Deinococcus puniceus	Deinococcus puniceus	Deinococcus aquatilis	100
GCA_000378465.1	Elioraea tepidiphila	Roseomonas gilardii	Elioraea tepidiphila	Elioraea tepidiphila	99.9995
GCA_000378485.1	Flavobacterium rivuli	Flavobacterium sp.	Flavobacterium rivuli	Flavobacterium rivuli	100
GCA_000378505.1	Halomonas lutea	Halomonas sp.	Halomonas lutea	Halomonas lutea	100
GCA_000378625.1	Colwellia piezophila	Colwellia sp.	Colwellia piezophila	Colwellia piezophila	99.999
GCA_000378725.1	Peptoniphilus lacrimalis	Streptococcus pseudoporcinus	Peptoniphilus lacrimalis	Peptoniphilus lacrimalis	100
GCA_000378745.1	Prevotella amnii	Prevotella intermedia	Prevotella amnii	Prevotella amnii	99.9983
GCA_000378765.1	Psychroflexus tropicus	--	Psychroflexus tropicus	Psychroflexus tropicus	99.9982
GCA_000379025.1	Orenia marismortui	--	Orenia marismortui	Orenia marismortui	100
GCA_000379185.1	Capnocytophaga cynodegmi	Capnocytophaga cynodegmi	Capnocytophaga cynodegmi	Capnocytophaga cynodegmi	100
GCA_000379425.1	Corynebacterium lubricantis	Corynebacterium doosanense	Corynebacterium lubricantis	Corynebacterium lubricantis	100
GCA_000379445.1	Fangia hongkongensis	--	Fangia hongkongensis	Fangia hongkongensis	100
GCA_000379465.1	Sciscionella marina	Amycolatopsis albispora	Sciscionella marina	Sciscionella marina	100
GCA_000379485.1	Wenxinia marina	Sagittula sp.	Wenxinia marina	Wenxinia marina	100
GCA_000379625.1	Actinomycetospora chiangmaiensis	Pseudonocardia sp.	Actinomycetospora chiangmaiensis	Actinomycetospora chiangmaiensis	100
GCA_000379645.1	Actinoplanes globisporus	Actinoplanes sp.	Actinoplanes globisporus	Actinoplanes globisporus	100
GCA_000379665.1	Butyricimonas synergistica	Butyricimonas faecalis	Butyricimonas synergistica	Butyricimonas synergistica	100
GCA_000379685.1	Catelliglobosispora koreensis	Micromonospora sp.	Catelliglobosispora koreensis	Catelliglobosispora koreensis	100
GCA_000379705.1	Corynebacterium caspium	--	Corynebacterium caspium	Corynebacterium caspium	100
GCA_000379725.1	Cytophaga aurantiaca	--	Cytophaga aurantiaca	Cytophaga aurantiaca	100
GCA_000379745.1	Enterococcus cecorum	Enterococcus cecorum	Enterococcus cecorum	Enterococcus cecorum	99.9992
GCA_000379765.1	Flexithrix dorotheae	--	Flexithrix dorotheae	Flexithrix dorotheae	100
GCA_000379785.1	Gallibacterium anatis	Gallibacterium anatis	Gallibacterium anatis	Gallibacterium anatis	100
GCA_000379805.1	Lewinella cohaerens	--	Lewinella cohaerens	Lewinella cohaerens	100
GCA_000379825.1	Longispora albida	Micromonospora terminaliae	Longispora albida	Longispora albida	100
GCA_000379845.1	Moraxella boevrei	Moraxella bovis	Moraxella boevrei	Moraxella boevrei	100
GCA_000379865.1	Mycolicibacterium hassiacum	Mycolicibacterium hassiacum	Mycolicibacterium phlei	Mycolicibacterium hassiacum	100
GCA_000379885.1	Nonomuraea coxensis	Nonomuraea sp.	Nonomuraea polychroma	Nonomuraea coxensis	100
GCA_000379905.1	Rodentibacter pneumotropicus	Rodentibacter pneumotropicus	Rodentibacter pneumotropicus	Rodentibacter pneumotropicus	100
GCA_000379925.1	Porphyromonas levii	Prevotella intermedia	Porphyromonas levii	Porphyromonas levii	99.9991
GCA_000379945.1	Porphyromonas macacae	--	Porphyromonas macacae	Porphyromonas macacae	100
GCA_000379965.1	Prevotella nanceiensis	Prevotella sp.	Prevotella nanceiensis	Prevotella nanceiensis	100
GCA_000379985.1	Streptococcus caballi	Streptococcus gallolyticus	Streptococcus caballi	Streptococcus caballi	99.9976
GCA_000380005.1	Streptococcus didelphis	Streptococcus dysgalactiae	Streptococcus didelphis	Streptococcus didelphis	99.9999
GCA_000380025.1	Streptococcus entericus	Streptococcus suis	Streptococcus entericus	Streptococcus entericus	100
GCA_000380045.1	Streptococcus marimammalium	--	Streptococcus marimammalium	Streptococcus marimammalium	99.9976
GCA_000380065.1	Streptococcus massiliensis	Streptococcus anginosus	Streptococcus massiliensis	Streptococcus massiliensis	99.9999
GCA_000380085.1	Streptococcus merionis	Streptococcus merionis	Streptococcus merionis	Streptococcus merionis	100
GCA_000380105.1	Streptococcus orisratti	Streptococcus gallolyticus	Streptococcus orisratti	Streptococcus orisratti	100
GCA_000380125.1	Streptococcus ovis	Streptococcus suis	Streptococcus ovis	Streptococcus ovis	100
GCA_000380145.1	Streptococcus thoraltensis	Streptococcus halotolerans	Streptococcus thoraltensis	Streptococcus thoraltensis	100
GCA_000380165.1	Streptomyces vitaminophilus	Streptomyces bingchenggensis	Streptomyces vitaminophilus	Streptomyces vitaminophilus	100
GCA_000380185.1	Thiofilum flexile	--	Thiofilum flexile	Thiofilum flexile	100
GCA_000380485.1	Gordonia kroppenstedtii	Gordonia alkanivorans	Gordonia kroppenstedtii	Gordonia kroppenstedtii	100
GCA_000380505.1	Kaistia granuli	Mesorhizobium sp.	Kaistia granuli	Kaistia granuli	100
GCA_000380565.1	Microbulbifer variabilis	Microbulbifer sp.	Microbulbifer variabilis	Microbulbifer variabilis	100
GCA_000380645.1	Smaragdicoccus niigatensis	Nocardia farcinica	Smaragdicoccus niigatensis	Smaragdicoccus niigatensis	100
GCA_000380965.1	Paenibacillus ginsengihumi	--	Paenibacillus ginsengihumi	Paenibacillus ginsengihumi	100
GCA_000380985.1	Proteiniphilum acetatigenes	Proteiniphilum saccharofermentans	Proteiniphilum saccharofermentans	Proteiniphilum acetatigenes	100
GCA_000381005.1	Selenomonas bovis	Selenomonas sputigena	Selenomonas bovis	Selenomonas bovis	99.9998
GCA_000381025.1	Streptomyces sulphureus	Streptomyces sp.	Streptomyces sulphureus	Streptomyces sulphureus	100
GCA_000381045.1	Thermus scotoductus	Thermus scotoductus	Thermus caldilimi	Thermus scotoductus	100
GCA_000381065.1	Propionispira raffinosivorans	--	Propionispira raffinosivorans	Propionispira raffinosivorans	100
GCA_000381125.1	Caldimonas manganoxidans	Polyangium brachysporum	Caldimonas manganoxidans	Caldimonas manganoxidans	100
GCA_000381265.1	Curvibacter lanceolatus	Delftia sp.	Curvibacter lanceolatus	Curvibacter lanceolatus	100
GCA_000381345.1	Deinococcus apachensis	Deinococcus sp.	Deinococcus apachensis	Deinococcus apachensis	99.9996
GCA_000381525.1	Peptostreptococcus anaerobius	Streptococcus pseudoporcinus	Peptostreptococcus anaerobius	Peptostreptococcus anaerobius	100
GCA_000381545.1	Rhodonellum psychrophilum	--	Rhodonellum psychrophilum	Rhodonellum psychrophilum	99.9991
GCA_000381725.1	Fusobacterium russii	Fusobacterium nucleatum	Fusobacterium russii	Fusobacterium russii	99.9957
GCA_000381745.1	Psychromonas ossibalaenae	Psychromonas ingrahamii	Psychromonas ossibalaenae	Psychromonas ossibalaenae	100
GCA_000381765.1	Zimmermannella faecalis	Agromyces aureus	Pseudoclavibacter faecalis	Pseudoclavibacter faecalis	100
GCA_000381785.1	Amphritea japonica	--	Amphritea japonica	Amphritea japonica	100
GCA_000381865.1	Moritella marina	Moritella marina	Moritella marina	Moritella marina	100
GCA_000381885.1	Actinomadura atramentaria	Actinomadura sp.	Actinomadura atramentaria	Actinomadura atramentaria	100
GCA_000381905.1	Paenibacillus fonticola	Paenibacillus lentus	Paenibacillus fonticola	Paenibacillus fonticola	100
GCA_000381965.1	Oceanimonas smirnovii	Oceanimonas sp.	Oceanimonas smirnovii	Oceanimonas smirnovii	100
GCA_000381985.1	Novispirillum itersonii	--	Novispirillum itersonii	Novispirillum itersonii	100
GCA_000382005.1	Pseudoalteromonas piscicida	Pseudoalteromonas sp.	Pseudoalteromonas piscicida	Pseudoalteromonas piscicida	99.9995
GCA_000382065.1	Stenotrophomonas maltophilia	Stenotrophomonas maltophilia	Stenotrophomonas maltophilia	Stenotrophomonas maltophilia	99.9999
GCA_000382085.1	Eubacterium siraeum	--	Eubacterium siraeum	Eubacterium siraeum	99.9999
GCA_000382125.1	Eudoraea adriatica	--	Eudoraea adriatica	Eudoraea adriatica	99.9979
GCA_000382145.1	Psychrobacter lutiphocae	Psychrobacter sp.	Psychrobacter lutiphocae	Psychrobacter lutiphocae	99.9999
GCA_000382165.1	Rheinheimera perlucida	Rheinheimera sp.	Rheinheimera perlucida	Rheinheimera perlucida	100
GCA_000382205.1	Dyadobacter beijingensis	Dyadobacter fermentans	Dyadobacter beijingensis	Dyadobacter beijingensis	99.9994
GCA_000382225.1	Hymenobacter aerophilus	Hymenobacter sp.	Hymenobacter aerophilus	Hymenobacter aerophilus	100
GCA_000382245.1	Kushneria aurantia	Kushneria marisflavi	Kushneria aurantia	Kushneria aurantia	99.9978
GCA_000382265.1	Yoonia vestfoldensis	Yoonia vestfoldensis	Yoonia vestfoldensis	Yoonia vestfoldensis	99.9999
GCA_000382285.1	Solimonas variicoloris	Solimonas sp.	Solimonas variicoloris	Solimonas variicoloris	100
GCA_000382305.1	Vitreoscilla stercoraria	Vitreoscilla sp.	Vitreoscilla stercoraria	Vitreoscilla stercoraria	100
GCA_000382325.1	Woodsholea maritima	--	Woodsholea maritima	Woodsholea maritima	100
GCA_000382345.1	Massilia niastensis	Massilia oculi	Massilia niastensis	Massilia niastensis	99.9996
GCA_000382365.1	Pannonibacter phragmitetus	Pannonibacter phragmitetus	Pannonibacter phragmitetus	Pannonibacter phragmitetus	99.9978
GCA_000382385.1	Prevotella maculosa	Prevotella oris	Prevotella maculosa	Prevotella maculosa	99.9999
GCA_000382425.1	Empedobacter brevis	Empedobacter brevis	Empedobacter brevis	Empedobacter brevis	99.9996
GCA_000382705.1	Aureimonas ureilytica	Aureimonas sp.	Aureimonas ureilytica	Aureimonas ureilytica	100
GCA_000383255.1	Brachyspira hyodysenteriae	Brachyspira hyodysenteriae	Brachyspira hyodysenteriae	Brachyspira hyodysenteriae	99.9982
GCA_000383295.1	Clostridium sporosphaeroides	--	Clostridium sporosphaeroides	Clostridium sporosphaeroides	100
GCA_000383415.1	Hyphomicrobium zavarzinii	Hyphomicrobium nitrativorans	Hyphomicrobium zavarzinii	Hyphomicrobium zavarzinii	99.9998
GCA_000383435.1	Lactobacillus parabrevis	Lactobacillus koreensis	Lactobacillus parabrevis	Lactobacillus parabrevis	99.9998
GCA_000383515.1	Mycoplasma hyorhinis	Mycoplasma hyorhinis	Mycoplasma hyorhinis	Mycoplasma hyorhinis	99.998
GCA_000383875.1	Caldibacillus debilis	--	Caldibacillus debilis	Caldibacillus debilis	99.9984
GCA_000383895.1	Duganella zoogloeoides	Janthinobacterium sp.	Massilia albidiflava	Duganella zoogloeoides	99.9997
GCA_000383955.1	Rudanella lutea	--	Rudanella lutea	Rudanella lutea	100
GCA_000384035.1	Actinopolyspora mortivallis	Actinopolyspora erythraea	Actinopolyspora mortivallis	Actinopolyspora mortivallis	100
GCA_000384115.1	Sporichthya polymorpha	Nocardioides sp.	Sporichthya polymorpha	Sporichthya polymorpha	100
GCA_000384135.1	Succinispira mobilis	--	Succinispira mobilis	Succinispira mobilis	100
GCA_000384195.1	Allobaculum stercoricanis	--	Allobaculum stercoricanis	Allobaculum stercoricanis	100
GCA_000384395.1	Geopsychrobacter electrodiphilus	--	Geopsychrobacter electrodiphilus	Geopsychrobacter electrodiphilus	100
GCA_000384655.1	Brachyspira innocens	Brachyspira murdochii	Brachyspira murdochii	Brachyspira innocens	100
GCA_000384815.1	Halodesulfovibrio aestuarii	--	Halodesulfovibrio aestuarii	Halodesulfovibrio aestuarii	100
GCA_000385075.1	Mycoplasma hominis	Mycoplasma hominis	Mycoplasma hominis	Mycoplasma hominis	98.011
GCA_000385175.1	Salinicoccus albus	Salinicoccus halodurans	Salinicoccus albus	Salinicoccus albus	100
GCA_000419445.1	Gryllotalpicola ginsengisoli	Gryllotalpicola sp.	Gryllotalpicola ginsengisoli	Gryllotalpicola ginsengisoli	100
GCA_000419525.1	Leucothrix mucor	--	Leucothrix mucor	Leucothrix mucor	100
GCA_000419585.1	Salisaeta longa	--	Salisaeta longa	Salisaeta longa	100
GCA_000419685.1	Flavobacterium antarcticum	--	Flavobacterium antarcticum	Flavobacterium antarcticum	100
GCA_000420025.1	Patulibacter americanus	Baekduia soli	Patulibacter americanus	Patulibacter americanus	100
GCA_000420045.1	Perlucidibaca piscinae	--	Perlucidibaca piscinae	Perlucidibaca piscinae	100
GCA_000420065.1	Varibaculum cambriense	Mobiluncus curtisii	Varibaculum cambriense	Varibaculum cambriense	100
GCA_000420105.1	Mycoplasma orale	Mycoplasma orale	Mycoplasma orale	Mycoplasma orale	100
GCA_000420125.1	Rubrivivax benzoatilyticus	Rubrivivax gelatinosus	Rubrivivax benzoatilyticus	Rubrivivax benzoatilyticus	100
GCA_000420145.1	Paracoccus zeaxanthinifaciens	Paracoccus sp.	Paracoccus zeaxanthinifaciens	Paracoccus zeaxanthinifaciens	100
GCA_000420205.1	Bacillus coagulans	Bacillus coagulans	Bacillus coagulans	Bacillus coagulans	100
GCA_000420245.1	Psychromonas hadalis	Psychromonas sp.	Psychromonas hadalis	Psychromonas hadalis	100
GCA_000420265.1	Oceanicaulis alexandrii	Glycocaulis alkaliphilus	Oceanicaulis alexandrii	Oceanicaulis alexandrii	100
GCA_000420285.1	Simiduia agarivorans	Simiduia agarivorans	Simiduia agarivorans	Simiduia agarivorans	100
GCA_000420305.1	Novosphingopyxis baekryungensis	Erythrobacter flavus	Novosphingopyxis baekryungensis	Novosphingopyxis baekryungensis	100
GCA_000420325.1	Spongiibacter tropicus	Spongiibacter sp.	Spongiibacter tropicus	Spongiibacter tropicus	100
GCA_000420345.1	Faecalicoccus pleomorphus	--	Faecalicoccus pleomorphus	Faecalicoccus pleomorphus	100
GCA_000420365.1	Weissella halotolerans	--	Weissella halotolerans	Weissella halotolerans	100
GCA_000420405.1	Winkia neuii	--	Winkia neuii	Winkia neuii	100
GCA_000420425.1	Schaalia vaccimaxillae	Schaalia odontolytica	Schaalia vaccimaxillae	Schaalia vaccimaxillae	100
GCA_000420445.1	Actinotignum urinale	Ndongobacter massiliensis	Actinotignum urinale	Actinotignum urinale	100
GCA_000420465.1	Desulfovibrio desulfuricans	Desulfovibrio desulfuricans	Desulfovibrio desulfuricans	Desulfovibrio desulfuricans	100
GCA_000420485.1	Desulfovibrio longus	Pseudodesulfovibrio aespoeensis	Desulfovibrio longus	Desulfovibrio longus	100
GCA_000420505.1	Alloscardovia omnicolens	--	Alloscardovia omnicolens	Alloscardovia omnicolens	100
GCA_000420525.1	Aquaspirillum serpens	--	Aquaspirillum serpens	Aquaspirillum serpens	100
GCA_000420545.1	Arenimonas oryziterrae	Lysobacter capsici	Arenimonas oryziterrae	Arenimonas oryziterrae	100
GCA_000420565.1	Bifidobacterium magnum	Bifidobacterium pseudolongum	Bifidobacterium magnum	Bifidobacterium magnum	100
GCA_000420585.1	Corynebacterium callunae	Corynebacterium callunae	Corynebacterium callunae	Corynebacterium callunae	100
GCA_000420605.1	Corynebacterium massiliense	Corynebacterium singulare	Corynebacterium massiliense	Corynebacterium massiliense	100
GCA_000420625.1	Fodinicurvata sediminis	--	Fodinicurvata sediminis	Fodinicurvata sediminis	100
GCA_000420645.1	Nevskia ramosa	Solimonas sp.	Nevskia ramosa	Nevskia ramosa	100
GCA_000420665.1	Ponticaulis koreensis	--	Ponticaulis koreensis	Ponticaulis koreensis	100
GCA_000420685.1	Gordonia hirsuta	Gordonia iterans	Gordonia hirsuta	Gordonia hirsuta	100
GCA_000420705.1	Hymenobacter norwichensis	Hymenobacter sp.	Hymenobacter norwichensis	Hymenobacter norwichensis	100
GCA_000420725.1	Marinococcus halotolerans	--	Marinococcus halotolerans	Marinococcus halotolerans	100
GCA_000420745.1	Pseudorhodobacter ferrugineus	Pseudorhodobacter sp.	--	Pseudorhodobacter ferrugineus	100
GCA_000420765.1	Sandarakinorhabdus limnophila	Sphingomonas sp.	Sandarakinorhabdus limnophila	Sandarakinorhabdus limnophila	100
GCA_000420785.1	Streptococcus hyovaginalis	Streptococcus acidominimus	Streptococcus hyovaginalis	Streptococcus hyovaginalis	100
GCA_000420805.1	Yaniella halotolerans	--	Yaniella halotolerans	Yaniella halotolerans	100
GCA_000421145.1	Glaciibacter superstes	Cryobacterium arcticum	Glaciibacter superstes	Glaciibacter superstes	100
GCA_000421165.1	Marinobacter daepoensis	Marinobacter hydrocarbonoclasticus	Marinobacter daepoensis	Marinobacter daepoensis	100
GCA_000421185.1	Ornithinimicrobium pekingense	Ornithinimicrobium sp.	Ornithinimicrobium pekingense	Ornithinimicrobium pekingense	100
GCA_000421205.1	Prevotella denticola	Prevotella denticola	Prevotella denticola	Prevotella denticola	100
GCA_000421225.1	Ruania albidiflava	Ruania sp.	Ruania albidiflava	Ruania albidiflava	100
GCA_000421245.1	Serinicoccus marinus	Serinicoccus marinus	Serinicoccus marinus	Serinicoccus marinus	100
GCA_000421265.1	Thalassospira lucentensis	Thalassospira indica	Thalassospira lucentensis	Thalassospira lucentensis	100
GCA_000421525.1	Aestuariimicrobium kwangyangense	Tessaracoccus sp.	Aestuariimicrobium kwangyangense	Aestuariimicrobium kwangyangense	100
GCA_000421545.1	Agromyces italicus	Agromyces sp.	Agromyces italicus	Agromyces italicus	100
GCA_000421565.1	Agromyces subbeticus	Agromyces sp.	Agromyces subbeticus	Agromyces subbeticus	100
GCA_000421585.1	Thermodesulfatator atlanticus	Thermodesulfatator indicus	Thermodesulfatator atlanticus	Thermodesulfatator atlanticus	100
GCA_000421605.1	Thermodesulfobacterium thermophilum	Thermodesulfobacterium commune	Thermodesulfobacterium commune	Thermodesulfobacterium thermophilum	100
GCA_000421625.1	Thermus islandicus	Thermus aquaticus	Thermus islandicus	Thermus islandicus	100
GCA_000421645.1	Aurantimonas coralicida	Brevundimonas vesicularis	Aurantimonas manganoxydans	Aurantimonas coralicida	100
GCA_000421665.1	Bavariicoccus seileri	--	Bavariicoccus seileri	Bavariicoccus seileri	100
GCA_000421685.1	Bifidobacterium minimum	Bifidobacterium adolescentis	Bifidobacterium minimum	Bifidobacterium minimum	100
GCA_000421705.1	Brevundimonas naejangsanensis	Brevundimonas naejangsanensis	Brevundimonas naejangsanensis	Brevundimonas naejangsanensis	100
GCA_000421725.1	Caldicellulosiruptor acetigenus	Caldicellulosiruptor kristjanssonii	Caldicellulosiruptor kristjanssonii	Caldicellulosiruptor acetigenus	100
GCA_000421745.1	Nesterenkonia alba	Nesterenkonia sp.	Nesterenkonia alba	Nesterenkonia alba	100
GCA_000421765.1	Pseudomonas caeni	Pseudomonas sp.	Pseudomonas caeni	Pseudomonas caeni	100
GCA_000421785.1	Streptococcus pyogenes	Streptococcus pyogenes	Streptococcus pyogenes	Streptococcus pyogenes	100
GCA_000421825.1	Humibacter albus	Humibacter sp.	Humibacter albus	Humibacter albus	100
GCA_000421845.1	Leucobacter chironomi	Leucobacter sp.	Leucobacter chironomi	Leucobacter chironomi	100
GCA_000422265.1	Chryseobacterium palustre	Chryseobacterium carnis	Chryseobacterium palustre	Chryseobacterium palustre	100
GCA_000422285.1	Desulfatiglans anilini	Geoalkalibacter subterraneus	Desulfatiglans anilini	Desulfatiglans anilini	100
GCA_000422305.1	Luteimonas mephitis	Lysobacter enzymogenes	Luteimonas mephitis	Luteimonas mephitis	100
GCA_000422325.1	Marinospirillum minutulum	--	Marinospirillum minutulum	Marinospirillum minutulum	100
GCA_000422345.1	Spongiibacter marinus	--	Spongiibacter tropicus	Spongiibacter marinus	99.9992
GCA_000422365.1	Mesoflavibacter zeaxanthinifaciens	Mesoflavibacter sp.	Mesoflavibacter zeaxanthinifaciens	Mesoflavibacter zeaxanthinifaciens	100
GCA_000422385.1	Microbacterium indicum	Microbacterium sediminis	Microbacterium indicum	Microbacterium indicum	99.9988
GCA_000422405.1	Microbacterium luticocti	Microbacterium protaetiae	Microbacterium luticocti	Microbacterium luticocti	100
GCA_000422425.1	Oceanospirillum beijerinckii	--	Oceanospirillum beijerinckii	Oceanospirillum beijerinckii	99.9992
GCA_000422445.1	Paenibacillus assamensis	--	Paenibacillus assamensis	Paenibacillus assamensis	99.9984
GCA_000422465.1	Paenibacillus harenae	--	Paenibacillus harenae	Paenibacillus harenae	100
GCA_000422485.1	Paenibacillus pasadenensis	Paenibacillus sp.	Paenibacillus pasadenensis	Paenibacillus pasadenensis	99.9969
GCA_000422505.1	Paenibacillus pinihumi	--	Paenibacillus pinihumi	Paenibacillus pinihumi	99.999
GCA_000422525.1	Halodesulfovibrio aestuarii	--	Halodesulfovibrio aestuarii	Halodesulfovibrio aestuarii	99.0571
GCA_000422545.1	Desulfocurvibacter africanus	Desulfocurvibacter africanus	Desulfocurvibacter africanus	Desulfocurvibacter africanus	99.9998
GCA_000422565.1	Desulfovibrio aminophilus	Desulfovibrio desulfuricans	Desulfovibrio aminophilus	Desulfovibrio aminophilus	99.9991
GCA_000422585.1	Hugenholtzia roseola	--	Hugenholtzia roseola	Hugenholtzia roseola	99.9928
GCA_000422605.1	Eggerthia catenaformis	Streptococcus porcinus	Eggerthia catenaformis	Eggerthia catenaformis	99.9999
GCA_000422625.1	Enterorhabdus mucosicola	Adlercreutzia equolifaciens	Enterorhabdus caecimuris	Enterorhabdus mucosicola	100
GCA_000422645.1	Ferrimonas futtsuensis	Ferrimonas balearica	Ferrimonas futtsuensis	Ferrimonas futtsuensis	99.999
GCA_000422665.1	Ferrimonas senticii	Ferrimonas sp.	Ferrimonas senticii	Ferrimonas senticii	100
GCA_000422685.1	Flavobacterium gelidilacus	Flavobacterium haoranii	Flavobacterium gelidilacus	Flavobacterium gelidilacus	99.9997
GCA_000422705.1	Flavobacterium soli	Flavobacterium sp.	Flavobacterium soli	Flavobacterium soli	99.9994
GCA_000422725.1	Flavobacterium subsaxonicum	Flavobacterium sp.	Flavobacterium subsaxonicum	Flavobacterium subsaxonicum	99.9978
GCA_000422745.1	Microbacterium gubbeenense	Microbacterium sediminis	Microbacterium gubbeenense	Microbacterium gubbeenense	100
GCA_000422765.1	Neptunomonas japonica	--	Neptunomonas japonica	Neptunomonas japonica	100
GCA_000422785.1	Nesiotobacter exalbescens	--	Nesiotobacter exalbescens	Nesiotobacter exalbescens	99.9989
GCA_000422805.1	Nocardioides halotolerans	Nocardioides sp.	Nocardioides halotolerans	Nocardioides halotolerans	99.9991
GCA_000422825.1	Nocardioides insulae	Nocardioides sp.	Nocardioides insulae	Nocardioides insulae	100
GCA_000422845.1	Oceanobacter kriegii	--	Oceanobacter kriegii	Oceanobacter kriegii	100
